             JOBID PARTITION     NAME     USER ST       TIME  NODES NODELIST(REASON)
           2216927     batch     POSF sreejith PD       0:00     96 (Dependency)
           2216926     batch     POSF sreejith PD       0:00     96 (Dependency)
           2216925     batch     POSF sreejith PD       0:00     96 (Dependency)
           2216899     batch     A74R sreejith PD       0:00    128 (Dependency)
           2216898     batch     A74R sreejith PD       0:00    128 (Dependency)
           2216896     batch     A74R sreejith PD       0:00    128 (Dependency)
           2216895     batch     A74R sreejith PD       0:00    128 (Dependency)
           2216894     batch     A74R sreejith PD       0:00    128 (Dependency)
           2216804     batch   d6rp50    ngoav PD       0:00    200 (Dependency)
           2216803     batch   d6rp49    ngoav PD       0:00    200 (Dependency)
           2216802     batch   d6rp48    ngoav PD       0:00    200 (Dependency)
           2216801     batch   d6rp47    ngoav PD       0:00    200 (Dependency)
           2216800     batch   d6rp46    ngoav PD       0:00    200 (Dependency)
           2216799     batch   d6rp45    ngoav PD       0:00    200 (Dependency)
           2216719     batch nvar3-30  leishi2 PD       0:00    200 (Dependency)
           2216718     batch nvar3-29  leishi2 PD       0:00    200 (Dependency)
           2216717     batch nvar3-28  leishi2 PD       0:00    200 (Dependency)
           2216716     batch nvar3-27  leishi2 PD       0:00    200 (Dependency)
           2216715     batch nvar3-26  leishi2 PD       0:00    200 (Dependency)
           2216714     batch nvar3-25  leishi2 PD       0:00    200 (Dependency)
           2216713     batch nvar3-24  leishi2 PD       0:00    200 (Dependency)
           2216712     batch nvar3-23  leishi2 PD       0:00    200 (Dependency)
           2216711     batch nvar3-22  leishi2 PD       0:00    200 (Dependency)
           2216710     batch nvar3-21  leishi2 PD       0:00    200 (Dependency)
           2216709     batch nvar3-20  leishi2 PD       0:00    200 (Dependency)
           2216708     batch nvar3-19  leishi2 PD       0:00    200 (Dependency)
           2216707     batch nvar3-18  leishi2 PD       0:00    200 (Dependency)
           2216706     batch nvar3-17  leishi2 PD       0:00    200 (Dependency)
           2216095     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216094     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216093     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216092     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216091     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216090     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216089     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216088     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216087     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216086     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216085     batch  dctdck2   priebe PD       0:00    120 (Dependency)
           2216060     batch  dctdck1   priebe PD       0:00    120 (Dependency)
           2216059     batch  dctdck1   priebe PD       0:00    120 (Dependency)
           2216058     batch  dctdck1   priebe PD       0:00    120 (Dependency)
           2216057     batch  dctdck1   priebe PD       0:00    120 (Dependency)
           2216056     batch  dctdck1   priebe PD       0:00    120 (Dependency)
           2216055     batch  dctdck1   priebe PD       0:00    120 (Dependency)
